,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6,wifi7,room
176,-61,-56,-57,-56,-75,-74,-81,1
192,-58,-59,-56,-64,-68,-82,-87,1
200,-58,-54,-52,-61,-74,-75,-82,1
220,-63,-48,-54,-65,-67,-82,-80,1
224,-66,-56,-54,-69,-65,-82,-82,1
225,-63,-54,-55,-67,-71,-82,-87,1
229,-66,-58,-58,-68,-73,-85,-78,1
231,-63,-54,-55,-64,-72,-84,-81,1
233,-58,-48,-59,-59,-64,-84,-77,1
234,-56,-55,-59,-68,-74,-84,-79,1
237,-61,-54,-57,-67,-67,-82,-84,1
239,-59,-54,-56,-65,-74,-79,-85,1
240,-58,-59,-59,-65,-65,-82,-94,1
243,-64,-52,-63,-62,-71,-84,-79,1
244,-62,-57,-58,-65,-71,-87,-86,1
255,-59,-60,-60,-62,-67,-94,-77,1
257,-59,-54,-60,-60,-66,-83,-78,1
260,-59,-57,-59,-64,-73,-79,-84,1
265,-64,-57,-56,-63,-68,-85,-81,1
266,-59,-57,-63,-66,-65,-82,-78,1
269,-61,-56,-63,-62,-73,-87,-91,1
274,-61,-56,-62,-67,-66,-81,-88,1
279,-61,-57,-65,-59,-67,-86,-87,1
282,-63,-58,-66,-63,-68,-87,-83,1
283,-63,-57,-59,-66,-71,-82,-83,1
322,-61,-55,-58,-67,-69,-84,-86,1
323,-65,-51,-59,-61,-66,-81,-84,1
329,-60,-56,-56,-64,-67,-84,-85,1
330,-58,-54,-59,-62,-68,-79,-87,1
341,-62,-56,-59,-58,-67,-78,-79,1
345,-60,-51,-59,-63,-68,-81,-76,1
347,-61,-54,-60,-62,-66,-79,-85,1
349,-61,-59,-62,-65,-66,-81,-83,1
353,-66,-58,-64,-67,-71,-85,-87,1
358,-61,-59,-54,-65,-66,-81,-89,1
359,-62,-57,-58,-63,-70,-85,-86,1
363,-65,-57,-62,-70,-67,-85,-87,1
364,-64,-57,-60,-70,-69,-86,-83,1
366,-64,-56,-61,-73,-66,-88,-83,1
371,-59,-56,-61,-66,-71,-83,-82,1
374,-64,-56,-58,-71,-69,-88,-84,1
376,-63,-57,-63,-64,-67,-81,-83,1
381,-63,-61,-61,-63,-68,-82,-83,1
382,-65,-58,-61,-62,-71,-81,-86,1
385,-66,-57,-59,-64,-69,-82,-84,1
395,-60,-53,-60,-61,-69,-81,-83,1
396,-59,-56,-62,-59,-67,-75,-78,1
401,-62,-53,-62,-64,-68,-79,-82,1
404,-66,-52,-63,-63,-68,-80,-87,1
405,-62,-58,-59,-59,-67,-80,-77,1
413,-62,-64,-62,-65,-75,-82,-86,1
420,-64,-57,-63,-59,-68,-82,-83,1
421,-63,-57,-66,-63,-68,-82,-82,1
425,-61,-56,-66,-65,-71,-85,-88,1
426,-60,-57,-66,-64,-70,-84,-88,1
440,-67,-65,-67,-68,-75,-87,-84,1
451,-67,-57,-64,-68,-75,-82,-82,1
453,-68,-55,-67,-70,-76,-82,-81,1
454,-68,-56,-66,-69,-75,-82,-83,1
456,-67,-56,-67,-70,-74,-81,-82,1
464,-66,-57,-61,-61,-73,-81,-90,1
468,-66,-57,-64,-62,-68,-87,-88,1
469,-63,-57,-64,-69,-75,-85,-83,1
471,-62,-58,-62,-65,-75,-90,-81,1
476,-61,-59,-58,-62,-65,-78,-78,1
480,-59,-57,-60,-58,-67,-80,-79,1
492,-64,-50,-55,-63,-66,-78,-82,1
508,-37,-61,-61,-37,-71,-68,-73,2
509,-37,-56,-56,-38,-68,-70,-66,2
510,-37,-59,-57,-43,-73,-65,-66,2
513,-40,-56,-58,-42,-67,-62,-71,2
514,-41,-56,-54,-41,-76,-65,-68,2
515,-43,-55,-55,-39,-69,-67,-71,2
517,-41,-56,-60,-39,-72,-74,-66,2
525,-38,-58,-59,-41,-65,-68,-74,2
540,-16,-58,-58,-13,-68,-76,-90,2
548,-37,-61,-54,-37,-66,-74,-75,2
552,-47,-55,-52,-49,-59,-78,-71,2
558,-42,-56,-50,-43,-68,-76,-77,2
563,-40,-56,-53,-50,-71,-79,-78,2
565,-45,-57,-58,-45,-77,-78,-80,2
568,-45,-58,-58,-40,-70,-86,-80,2
572,-43,-59,-54,-39,-63,-79,-87,2
577,-39,-56,-54,-48,-61,-78,-67,2
581,-38,-50,-71,-39,-68,-78,-74,2
586,-38,-51,-54,-45,-67,-72,-76,2
588,-39,-56,-53,-40,-69,-75,-72,2
597,-19,-59,-55,-37,-73,-72,-66,2
606,-13,-60,-63,-18,-70,-73,-73,2
612,-39,-54,-55,-37,-71,-64,-67,2
620,-42,-58,-63,-41,-75,-69,-67,2
624,-40,-63,-67,-40,-75,-70,-70,2
641,-51,-57,-59,-45,-77,-75,-81,2
645,-50,-56,-63,-45,-71,-76,-78,2
658,-40,-59,-67,-50,-68,-79,-78,2
661,-42,-58,-65,-46,-71,-77,-73,2
671,-40,-55,-66,-39,-75,-73,-78,2
678,-43,-55,-55,-44,-68,-76,-79,2
681,-42,-57,-51,-41,-69,-77,-75,2
682,-45,-58,-55,-46,-69,-75,-73,2
686,-38,-55,-57,-41,-66,-73,-69,2
690,-38,-56,-53,-28,-71,-67,-72,2
694,-37,-59,-54,-39,-72,-75,-70,2
697,-37,-60,-52,-38,-65,-70,-70,2
703,-37,-61,-55,-40,-63,-70,-67,2
713,-42,-53,-50,-44,-71,-68,-64,2
721,-40,-52,-51,-45,-64,-70,-65,2
738,-35,-56,-55,-36,-69,-67,-78,2
743,-36,-51,-67,-40,-63,-74,-68,2
744,-36,-56,-53,-43,-63,-65,-70,2
752,-37,-49,-57,-42,-62,-64,-71,2
756,-40,-54,-57,-42,-64,-67,-71,2
770,-14,-55,-57,-34,-67,-71,-72,2
772,-15,-55,-57,-16,-71,-72,-74,2
774,-17,-53,-57,-17,-70,-77,-73,2
789,-39,-56,-53,-46,-57,-73,-77,2
790,-36,-57,-52,-40,-66,-75,-75,2
792,-46,-54,-53,-48,-71,-78,-73,2
794,-48,-56,-55,-46,-65,-86,-79,2
796,-46,-58,-56,-43,-70,-72,-80,2
798,-41,-58,-60,-47,-70,-82,-74,2
799,-40,-54,-54,-45,-71,-76,-74,2
803,-40,-55,-57,-50,-66,-75,-73,2
806,-46,-55,-54,-45,-62,-76,-73,2
809,-45,-57,-55,-48,-67,-77,-84,2
821,-37,-56,-56,-35,-69,-73,-69,2
829,-34,-48,-51,-37,-70,-78,-69,2
832,-36,-55,-55,-36,-60,-73,-72,2
834,-35,-54,-54,-35,-59,-73,-70,2
840,-34,-61,-61,-36,-60,-73,-76,2
842,-35,-60,-54,-35,-61,-81,-80,2
845,-36,-59,-57,-35,-61,-65,-80,2
855,-36,-56,-62,-36,-80,-71,-69,2
862,-36,-54,-56,-16,-61,-64,-79,2
863,-36,-55,-65,-34,-66,-70,-74,2
873,-10,-58,-62,-20,-73,-76,-74,2
879,-40,-53,-55,-37,-71,-75,-74,2
880,-40,-54,-52,-38,-60,-69,-75,2
883,-41,-53,-56,-36,-62,-75,-77,2
884,-43,-56,-59,-37,-64,-74,-77,2
886,-48,-53,-60,-36,-58,-73,-77,2
888,-44,-52,-56,-47,-63,-71,-75,2
891,-40,-55,-53,-35,-64,-70,-82,2
894,-42,-53,-53,-42,-63,-72,-72,2
895,-40,-56,-53,-44,-69,-77,-79,2
899,-41,-56,-50,-43,-66,-77,-76,2
905,-39,-51,-50,-43,-63,-71,-66,2
925,-36,-57,-56,-37,-69,-77,-72,2
931,-14,-56,-57,-35,-68,-77,-72,2
938,-36,-53,-50,-37,-70,-72,-72,2
952,-37,-57,-51,-39,-71,-71,-72,2
956,-40,-70,-47,-43,-69,-73,-84,2
959,-37,-54,-53,-36,-65,-76,-72,2
960,-36,-54,-54,-37,-66,-75,-71,2
966,-37,-54,-55,-37,-67,-71,-70,2
969,-46,-52,-46,-39,-74,-71,-78,2
970,-44,-50,-57,-45,-61,-72,-67,2
973,-43,-55,-52,-42,-60,-74,-67,2
974,-43,-54,-55,-41,-68,-71,-74,2
976,-37,-46,-51,-39,-63,-69,-69,2
984,-39,-48,-51,-38,-63,-69,-89,2
989,-40,-54,-53,-36,-61,-77,-74,2
990,-37,-55,-55,-40,-73,-72,-74,2
994,-45,-57,-59,-43,-71,-74,-79,2
998,-46,-57,-55,-44,-65,-86,-77,2
1002,-50,-56,-54,-50,-71,-79,-77,3
1008,-46,-56,-57,-55,-66,-82,-85,3
1011,-49,-49,-53,-47,-57,-80,-77,3
1014,-60,-50,-49,-54,-71,-83,-82,3
1018,-48,-50,-55,-50,-66,-78,-75,3
1019,-53,-55,-55,-53,-66,-79,-86,3
1026,-46,-54,-53,-48,-64,-78,-79,3
1033,-46,-54,-53,-47,-63,-85,-80,3
1037,-49,-52,-61,-52,-61,-82,-88,3
1046,-47,-55,-54,-50,-72,-80,-88,3
1052,-51,-56,-51,-58,-58,-80,-86,3
1059,-50,-57,-53,-49,-67,-83,-82,3
1072,-52,-57,-51,-55,-65,-85,-85,3
1073,-52,-57,-61,-59,-59,-85,-85,3
1076,-46,-48,-52,-52,-62,-77,-80,3
1079,-49,-52,-48,-52,-62,-78,-75,3
1086,-45,-50,-52,-53,-61,-75,-79,3
1096,-46,-57,-52,-43,-69,-86,-85,3
1099,-46,-55,-58,-47,-64,-78,-78,3
1103,-49,-54,-55,-49,-63,-81,-87,3
1115,-52,-64,-54,-54,-68,-85,-79,3
1118,-51,-60,-55,-53,-72,-85,-78,3
1129,-52,-57,-50,-52,-65,-79,-77,3
1131,-52,-57,-50,-51,-65,-79,-79,3
1139,-52,-57,-50,-52,-60,-78,-79,3
1146,-50,-55,-54,-50,-69,-79,-82,3
1147,-53,-55,-54,-51,-69,-79,-81,3
1148,-52,-56,-53,-53,-70,-80,-78,3
1149,-50,-52,-53,-53,-67,-86,-85,3
1153,-48,-53,-54,-45,-61,-86,-83,3
1163,-51,-53,-49,-51,-65,-77,-89,3
1168,-51,-52,-52,-50,-69,-78,-86,3
1185,-50,-52,-52,-50,-67,-78,-89,3
1186,-48,-54,-54,-49,-67,-77,-89,3
1195,-49,-52,-53,-54,-65,-77,-88,3
1197,-50,-53,-53,-54,-67,-78,-86,3
1206,-55,-56,-58,-53,-70,-81,-88,3
1257,-51,-47,-50,-49,-59,-80,-85,3
1270,-45,-52,-52,-51,-64,-84,-84,3
1287,-48,-54,-52,-54,-58,-87,-89,3
1288,-50,-54,-51,-50,-66,-87,-85,3
1289,-47,-55,-57,-50,-64,-80,-85,3
1290,-50,-56,-57,-49,-68,-92,-80,3
1291,-48,-57,-54,-47,-66,-79,-79,3
1292,-42,-54,-48,-51,-64,-78,-87,3
1294,-51,-59,-51,-48,-67,-79,-79,3
1308,-51,-63,-51,-52,-66,-79,-89,3
1324,-45,-60,-56,-54,-59,-84,-85,3
1329,-48,-55,-55,-52,-65,-80,-82,3
1338,-53,-55,-51,-49,-65,-86,-84,3
1340,-52,-56,-51,-48,-64,-87,-84,3
1348,-52,-57,-53,-49,-61,-88,-85,3
1365,-46,-52,-53,-44,-60,-79,-86,3
1366,-45,-54,-53,-45,-68,-75,-84,3
1380,-53,-53,-52,-55,-60,-82,-84,3
1386,-53,-54,-54,-51,-61,-84,-77,3
1390,-53,-48,-52,-52,-59,-81,-82,3
1393,-49,-50,-55,-49,-54,-85,-76,3
1396,-47,-52,-49,-43,-57,-80,-79,3
1398,-50,-49,-51,-50,-61,-83,-85,3
1401,-52,-54,-53,-49,-63,-86,-81,3
1411,-53,-47,-54,-53,-59,-83,-84,3
1412,-51,-58,-56,-48,-61,-79,-82,3
1413,-45,-55,-57,-47,-61,-78,-80,3
1414,-49,-50,-51,-44,-60,-83,-79,3
1421,-50,-62,-57,-45,-62,-81,-78,3
1426,-49,-45,-50,-48,-61,-79,-84,3
1434,-53,-52,-48,-50,-62,-81,-80,3
1435,-53,-53,-51,-50,-66,-82,-82,3
1441,-52,-50,-52,-49,-63,-80,-85,3
1448,-53,-56,-54,-53,-62,-88,-85,3
1449,-50,-58,-54,-50,-65,-79,-89,3
1463,-49,-54,-50,-51,-66,-78,-82,3
1465,-51,-54,-44,-52,-56,-79,-79,3
1471,-48,-59,-54,-55,-60,-84,-87,3
1472,-50,-59,-60,-51,-64,-86,-85,3
1478,-46,-51,-55,-42,-62,-79,-78,3
1480,-50,-55,-52,-47,-65,-83,-91,3
1481,-47,-46,-53,-46,-59,-79,-79,3
1482,-49,-51,-52,-44,-60,-77,-77,3
1484,-46,-54,-47,-51,-57,-80,-73,3
1488,-54,-55,-50,-48,-64,-80,-78,3
1498,-53,-58,-51,-51,-62,-84,-85,3
1499,-53,-68,-50,-51,-77,-85,-87,3
1500,-58,-56,-47,-62,-36,-85,-84,4
1505,-59,-52,-59,-61,-54,-87,-89,4
1508,-59,-52,-56,-59,-51,-89,-87,4
1509,-59,-52,-57,-59,-50,-88,-88,4
1513,-59,-53,-57,-59,-50,-88,-88,4
1516,-59,-53,-57,-60,-51,-87,-88,4
1517,-58,-52,-58,-60,-52,-86,-89,4
1524,-58,-51,-56,-59,-54,-87,-87,4
1533,-58,-50,-54,-60,-53,-86,-89,4
1536,-57,-52,-56,-60,-52,-91,-85,4
1538,-57,-50,-58,-60,-51,-87,-88,4
1539,-60,-50,-57,-60,-50,-89,-86,4
1541,-58,-51,-56,-58,-50,-88,-88,4
1542,-59,-51,-56,-58,-50,-88,-86,4
1557,-55,-52,-46,-59,-53,-88,-84,4
1574,-59,-56,-53,-60,-49,-85,-84,4
1575,-58,-56,-56,-61,-52,-85,-85,4
1580,-54,-57,-50,-61,-53,-83,-82,4
1585,-59,-57,-50,-59,-50,-89,-80,4
1586,-64,-55,-52,-74,-53,-89,-80,4
1588,-64,-57,-53,-64,-47,-88,-91,4
1589,-64,-59,-51,-62,-51,-88,-91,4
1601,-63,-57,-57,-70,-50,-92,-87,4
1610,-61,-60,-53,-61,-52,-87,-87,4
1611,-60,-61,-58,-63,-49,-84,-85,4
1616,-61,-57,-53,-65,-50,-87,-91,4
1618,-61,-55,-45,-55,-56,-85,-85,4
1621,-61,-61,-51,-62,-54,-85,-91,4
1622,-64,-60,-53,-60,-48,-89,-89,4
1624,-64,-66,-58,-70,-50,-89,-93,4
1626,-63,-57,-60,-69,-49,-93,-93,4
1634,-66,-56,-56,-66,-49,-89,-87,4
1636,-66,-57,-56,-64,-49,-89,-87,4
1644,-65,-57,-55,-64,-50,-92,-85,4
1650,-69,-58,-46,-66,-48,-95,-93,4
1653,-63,-59,-45,-65,-47,-89,-92,4
1654,-63,-58,-46,-66,-49,-93,-93,4
1662,-66,-58,-47,-68,-47,-88,-91,4
1664,-61,-60,-50,-63,-45,-88,-91,4
1671,-64,-58,-51,-59,-40,-88,-87,4
1672,-58,-57,-50,-60,-47,-84,-86,4
1681,-65,-52,-46,-65,-49,-88,-87,4
1683,-65,-54,-46,-65,-51,-91,-89,4
1689,-55,-57,-49,-52,-53,-82,-86,4
1690,-59,-53,-49,-56,-49,-83,-88,4
1695,-60,-52,-49,-61,-51,-85,-81,4
1697,-60,-56,-43,-61,-50,-89,-87,4
1699,-62,-58,-49,-64,-42,-86,-89,4
1710,-65,-58,-56,-61,-49,-89,-88,4
1716,-60,-51,-53,-63,-42,-87,-82,4
1719,-58,-56,-52,-54,-52,-87,-84,4
1720,-61,-57,-51,-56,-49,-88,-85,4
1721,-59,-57,-56,-65,-49,-92,-91,4
1722,-59,-57,-52,-71,-49,-92,-88,4
1730,-60,-57,-56,-65,-50,-96,-87,4
1748,-61,-55,-54,-72,-45,-89,-92,4
1751,-63,-58,-54,-69,-43,-91,-92,4
1760,-58,-57,-46,-56,-43,-89,-85,4
1763,-57,-54,-54,-59,-51,-88,-87,4
1772,-60,-54,-56,-65,-43,-88,-87,4
1773,-59,-56,-49,-57,-45,-88,-88,4
1784,-63,-56,-51,-57,-45,-88,-88,4
1785,-61,-54,-52,-65,-49,-85,-91,4
1786,-60,-63,-54,-63,-47,-88,-92,4
1790,-64,-63,-56,-64,-47,-92,-83,4
1791,-71,-59,-52,-62,-48,-91,-83,4
1799,-57,-55,-45,-59,-50,-85,-85,4
1802,-60,-52,-48,-61,-48,-83,-84,4
1807,-58,-57,-46,-55,-50,-87,-85,4
1817,-63,-56,-51,-64,-49,-88,-89,4
1818,-63,-57,-55,-60,-50,-86,-92,4
1821,-61,-56,-52,-58,-52,-82,-85,4
1824,-59,-55,-49,-60,-42,-92,-93,4
1832,-61,-54,-48,-64,-49,-89,-81,4
1833,-57,-51,-49,-64,-52,-88,-81,4
1836,-61,-56,-48,-62,-54,-88,-86,4
1845,-59,-57,-48,-69,-52,-87,-87,4
1849,-60,-53,-52,-64,-46,-85,-83,4
1852,-61,-53,-48,-62,-52,-86,-85,4
1853,-61,-56,-46,-60,-50,-84,-86,4
1856,-62,-53,-48,-61,-50,-85,-86,4
1884,-59,-54,-48,-62,-47,-85,-89,4
1888,-56,-48,-43,-62,-43,-83,-82,4
1895,-60,-50,-51,-62,-49,-87,-84,4
1897,-58,-53,-52,-62,-51,-85,-83,4
1901,-62,-54,-48,-62,-48,-86,-86,4
1902,-57,-49,-44,-60,-50,-84,-86,4
1915,-62,-53,-52,-59,-48,-87,-92,4
1918,-61,-60,-52,-57,-51,-91,-86,4
1931,-58,-55,-51,-61,-44,-88,-86,4
1938,-58,-57,-45,-58,-42,-88,-88,4
1939,-55,-49,-51,-56,-50,-84,-88,4
1940,-55,-51,-48,-68,-51,-82,-86,4
1941,-58,-52,-51,-59,-49,-82,-86,4
1945,-57,-54,-51,-60,-47,-84,-88,4
1950,-59,-55,-48,-59,-46,-86,-83,4
1952,-56,-50,-47,-60,-50,-88,-83,4
1959,-57,-53,-50,-61,-56,-84,-83,4
1962,-56,-51,-52,-59,-48,-87,-82,4
1963,-56,-53,-51,-59,-50,-84,-84,4
1964,-57,-50,-51,-59,-51,-83,-84,4
1967,-56,-50,-51,-60,-58,-81,-84,4
1973,-63,-61,-49,-58,-46,-92,-83,4
1975,-57,-53,-45,-54,-52,-84,-82,4
1976,-56,-60,-47,-58,-46,-80,-82,4
1985,-58,-53,-46,-59,-50,-86,-90,4
1994,-61,-54,-51,-63,-44,-87,-88,4
1998,-62,-58,-52,-61,-41,-90,-85,4
