,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6,wifi7,room
209,-62,-56,-61,-65,-74,-78,-76,1
210,-60,-54,-61,-65,-70,-82,-88,1
211,-62,-63,-62,-65,-68,-87,-86,1
212,-62,-57,-61,-64,-68,-82,-82,1
213,-60,-58,-57,-65,-69,-80,-89,1
214,-62,-56,-59,-68,-74,-95,-84,1
215,-60,-53,-59,-64,-65,-76,-81,1
216,-60,-54,-57,-60,-66,-80,-88,1
217,-59,-55,-61,-65,-68,-84,-84,1
218,-58,-49,-55,-60,-70,-78,-80,1
219,-62,-49,-56,-63,-67,-78,-80,1
221,-57,-56,-54,-69,-75,-83,-81,1
222,-62,-55,-59,-63,-72,-76,-87,1
223,-61,-50,-59,-67,-65,-79,-86,1
226,-60,-57,-58,-64,-70,-84,-79,1
227,-61,-56,-58,-67,-68,-80,-81,1
228,-61,-62,-64,-65,-73,-81,-90,1
230,-66,-56,-57,-66,-73,-84,-87,1
232,-58,-53,-58,-64,-73,-82,-82,1
235,-59,-54,-63,-72,-75,-81,-78,1
236,-58,-56,-61,-66,-75,-84,-78,1
238,-62,-56,-67,-63,-68,-82,-86,1
241,-63,-54,-61,-66,-73,-84,-88,1
242,-63,-57,-58,-62,-73,-86,-85,1
245,-57,-56,-60,-58,-70,-79,-84,1
246,-57,-54,-57,-61,-62,-80,-79,1
247,-63,-59,-65,-62,-65,-83,-80,1
248,-62,-59,-61,-59,-69,-82,-83,1
249,-56,-56,-62,-64,-70,-79,-86,1
250,-57,-52,-60,-61,-66,-81,-85,1
251,-59,-55,-58,-61,-67,-77,-79,1
252,-57,-56,-59,-59,-64,-79,-78,1
253,-58,-58,-61,-59,-69,-81,-80,1
254,-62,-58,-57,-58,-69,-94,-77,1
256,-62,-55,-58,-62,-67,-81,-77,1
258,-63,-55,-63,-62,-68,-89,-85,1
259,-63,-59,-61,-61,-66,-79,-80,1
261,-62,-53,-61,-59,-74,-84,-81,1
262,-58,-51,-59,-65,-74,-86,-82,1
263,-60,-55,-58,-61,-72,-83,-82,1
264,-63,-57,-57,-65,-75,-83,-76,1
267,-63,-60,-58,-64,-66,-83,-90,1
268,-65,-56,-60,-66,-74,-89,-90,1
270,-62,-59,-61,-66,-75,-86,-80,1
271,-63,-52,-61,-64,-75,-80,-83,1
272,-58,-51,-59,-63,-69,-81,-80,1
273,-61,-56,-65,-65,-66,-77,-81,1
275,-59,-55,-63,-67,-66,-82,-86,1
276,-62,-55,-65,-59,-69,-86,-87,1
277,-61,-54,-64,-59,-68,-86,-88,1
278,-61,-56,-65,-59,-68,-86,-88,1
280,-60,-57,-66,-60,-68,-87,-89,1
281,-61,-59,-63,-60,-69,-87,-88,1
284,-59,-52,-61,-61,-76,-75,-78,1
285,-65,-62,-60,-65,-68,-83,-82,1
286,-66,-53,-58,-63,-69,-81,-80,1
287,-66,-53,-59,-62,-69,-81,-79,1
288,-60,-56,-62,-61,-69,-82,-81,1
289,-56,-50,-58,-63,-68,-83,-83,1
290,-59,-59,-58,-62,-64,-78,-81,1
291,-60,-57,-58,-66,-65,-77,-80,1
292,-59,-56,-58,-68,-62,-80,-81,1
293,-59,-54,-57,-65,-62,-80,-82,1
294,-58,-53,-61,-62,-64,-78,-81,1
295,-59,-60,-61,-66,-66,-81,-85,1
296,-56,-58,-60,-59,-66,-80,-77,1
297,-57,-59,-58,-66,-67,-78,-82,1
298,-62,-53,-58,-65,-67,-82,-84,1
299,-60,-59,-61,-62,-68,-81,-85,1
300,-61,-57,-63,-67,-72,-77,-82,1
301,-61,-55,-62,-62,-65,-82,-81,1
302,-57,-55,-58,-64,-65,-87,-79,1
303,-61,-52,-54,-63,-64,-84,-82,1
304,-61,-54,-54,-67,-60,-81,-83,1
305,-59,-57,-53,-61,-63,-79,-87,1
306,-62,-54,-55,-61,-63,-84,-81,1
307,-62,-54,-58,-64,-65,-77,-85,1
308,-59,-54,-58,-59,-63,-81,-80,1
309,-58,-55,-58,-61,-64,-81,-84,1
310,-61,-54,-64,-63,-68,-83,-81,1
311,-62,-57,-61,-63,-65,-83,-82,1
312,-67,-56,-65,-68,-69,-83,-82,1
313,-63,-57,-60,-64,-72,-80,-78,1
314,-62,-57,-63,-67,-66,-87,-80,1
315,-63,-57,-66,-66,-68,-83,-81,1
316,-62,-57,-59,-72,-73,-86,-82,1
317,-64,-66,-54,-67,-70,-83,-82,1
318,-62,-63,-57,-69,-71,-82,-82,1
319,-64,-64,-58,-75,-68,-82,-80,1
320,-64,-62,-57,-69,-67,-77,-81,1
321,-63,-63,-57,-68,-71,-79,-82,1
324,-61,-58,-60,-64,-73,-81,-82,1
325,-64,-55,-62,-66,-65,-85,-81,1
326,-62,-59,-59,-64,-65,-80,-81,1
327,-59,-55,-56,-64,-69,-83,-84,1
328,-64,-56,-60,-61,-67,-78,-85,1
331,-59,-52,-61,-57,-69,-83,-78,1
332,-56,-55,-56,-59,-64,-83,-83,1
333,-60,-56,-56,-63,-65,-80,-83,1
334,-59,-53,-64,-60,-68,-82,-81,1
335,-58,-52,-64,-64,-66,-88,-83,1
336,-59,-51,-64,-57,-69,-80,-80,1
337,-58,-50,-59,-58,-68,-80,-81,1
338,-61,-53,-53,-61,-63,-77,-81,1
339,-58,-50,-55,-54,-61,-84,-87,1
340,-60,-58,-56,-65,-68,-79,-86,1
342,-62,-59,-62,-60,-68,-80,-89,1
343,-61,-58,-64,-61,-64,-78,-82,1
344,-61,-59,-62,-61,-66,-80,-88,1
346,-60,-58,-57,-59,-66,-82,-83,1
348,-59,-54,-60,-65,-66,-80,-90,1
350,-61,-56,-61,-74,-69,-87,-89,1
351,-66,-55,-60,-69,-66,-85,-87,1
352,-64,-58,-60,-68,-66,-86,-88,1
354,-62,-59,-62,-63,-65,-87,-87,1
355,-60,-56,-59,-66,-68,-81,-83,1
356,-59,-53,-58,-66,-65,-82,-78,1
357,-62,-54,-60,-61,-71,-86,-80,1
360,-63,-59,-57,-65,-69,-80,-86,1
361,-67,-61,-63,-65,-71,-81,-87,1
362,-64,-55,-60,-74,-66,-87,-87,1
365,-65,-58,-61,-71,-69,-87,-83,1
367,-62,-57,-60,-64,-67,-80,-88,1
368,-60,-53,-60,-67,-64,-81,-79,1
369,-61,-60,-60,-65,-67,-82,-78,1
370,-63,-58,-62,-65,-68,-81,-74,1
372,-63,-59,-61,-68,-71,-81,-87,1
373,-63,-58,-61,-67,-69,-86,-85,1
375,-68,-51,-59,-67,-65,-80,-87,1
377,-66,-57,-64,-61,-69,-82,-88,1
378,-64,-57,-60,-60,-65,-80,-91,1
379,-58,-50,-61,-68,-64,-85,-91,1
380,-59,-58,-62,-67,-65,-80,-83,1
383,-63,-59,-60,-65,-69,-81,-84,1
384,-65,-59,-61,-67,-70,-80,-83,1
386,-62,-57,-60,-61,-69,-93,-90,1
387,-63,-58,-58,-64,-66,-81,-83,1
388,-62,-58,-58,-63,-68,-82,-84,1
389,-62,-56,-57,-64,-65,-85,-83,1
390,-62,-57,-56,-63,-66,-84,-82,1
391,-62,-55,-54,-62,-69,-79,-81,1
392,-62,-53,-59,-62,-66,-82,-87,1
393,-65,-56,-62,-62,-68,-83,-90,1
394,-65,-54,-60,-64,-65,-87,-82,1
397,-61,-52,-60,-61,-68,-80,-84,1
398,-64,-60,-63,-63,-72,-86,-84,1
399,-62,-51,-58,-65,-72,-80,-88,1
400,-60,-54,-56,-64,-70,-78,-80,1
402,-63,-51,-57,-60,-66,-79,-82,1
403,-63,-51,-58,-63,-68,-81,-87,1
406,-62,-56,-61,-63,-65,-83,-89,1
407,-61,-51,-60,-63,-66,-82,-87,1
408,-62,-53,-64,-65,-69,-85,-85,1
409,-64,-55,-54,-64,-68,-89,-81,1
410,-65,-54,-56,-64,-66,-79,-81,1
411,-66,-56,-59,-62,-67,-80,-78,1
412,-60,-62,-66,-66,-71,-84,-85,1
414,-61,-56,-63,-77,-67,-82,-96,1
415,-64,-52,-59,-59,-66,-86,-87,1
416,-60,-54,-59,-65,-66,-83,-84,1
417,-61,-58,-58,-62,-66,-81,-81,1
418,-62,-54,-60,-61,-70,-79,-81,1
419,-61,-57,-59,-62,-69,-78,-83,1
422,-58,-57,-66,-61,-68,-85,-83,1
423,-61,-56,-67,-61,-69,-82,-87,1
424,-60,-56,-67,-62,-69,-82,-86,1
427,-61,-56,-64,-61,-72,-83,-86,1
428,-60,-57,-63,-62,-72,-85,-86,1
429,-62,-60,-61,-66,-69,-80,-86,1
430,-64,-59,-62,-63,-69,-84,-81,1
431,-61,-58,-60,-62,-70,-81,-85,1
432,-65,-61,-63,-63,-69,-82,-84,1
433,-68,-56,-65,-67,-76,-87,-85,1
434,-67,-56,-60,-66,-73,-93,-87,1
435,-66,-55,-64,-71,-75,-94,-83,1
436,-65,-57,-63,-71,-76,-87,-86,1
437,-64,-56,-64,-71,-75,-87,-87,1
438,-64,-57,-63,-71,-77,-87,-83,1
439,-65,-58,-65,-65,-74,-89,-85,1
441,-70,-62,-62,-67,-69,-88,-86,1
442,-64,-58,-60,-67,-68,-84,-81,1
443,-62,-53,-57,-60,-69,-87,-86,1
444,-61,-56,-60,-58,-67,-79,-82,1
445,-65,-54,-65,-70,-74,-83,-82,1
446,-67,-57,-67,-68,-75,-85,-80,1
447,-67,-55,-68,-67,-74,-83,-83,1
448,-68,-57,-66,-69,-76,-81,-82,1
449,-67,-56,-65,-66,-75,-83,-81,1
450,-68,-55,-66,-68,-75,-82,-83,1
452,-68,-55,-73,-65,-76,-82,-82,1
455,-68,-57,-67,-68,-75,-83,-83,1
457,-69,-59,-70,-67,-75,-82,-82,1
458,-63,-58,-59,-65,-74,-86,-84,1
459,-68,-55,-63,-61,-74,-79,-85,1
460,-67,-57,-60,-60,-75,-83,-87,1
461,-68,-57,-60,-61,-73,-87,-87,1
462,-66,-56,-60,-63,-74,-87,-93,1
463,-69,-58,-56,-61,-73,-81,-93,1
465,-66,-57,-62,-61,-74,-81,-89,1
466,-65,-57,-60,-64,-74,-81,-90,1
467,-66,-57,-60,-68,-74,-82,-88,1
470,-66,-58,-64,-63,-73,-83,-86,1
472,-62,-59,-62,-63,-74,-86,-81,1
473,-66,-58,-61,-63,-73,-81,-85,1
474,-66,-60,-62,-62,-70,-82,-85,1
475,-60,-52,-59,-65,-66,-82,-80,1
477,-60,-57,-58,-59,-70,-76,-80,1
478,-62,-52,-56,-63,-64,-78,-81,1
479,-58,-56,-51,-59,-65,-81,-84,1
481,-59,-57,-60,-60,-63,-81,-77,1
482,-55,-53,-57,-67,-64,-80,-78,1
483,-57,-53,-54,-61,-73,-86,-81,1
484,-62,-52,-59,-62,-64,-80,-81,1
485,-61,-55,-56,-66,-73,-79,-80,1
486,-62,-55,-64,-61,-60,-81,-77,1
487,-60,-51,-61,-63,-64,-86,-81,1
488,-60,-59,-55,-66,-66,-82,-86,1
489,-61,-54,-60,-60,-64,-79,-81,1
490,-59,-52,-58,-65,-66,-82,-80,1
491,-64,-52,-57,-61,-66,-82,-81,1
493,-61,-53,-52,-60,-72,-75,-81,1
494,-61,-52,-58,-59,-70,-76,-79,1
495,-62,-53,-55,-60,-68,-76,-79,1
496,-62,-51,-54,-60,-74,-74,-82,1
497,-61,-57,-58,-62,-67,-78,-76,1
498,-59,-50,-56,-59,-62,-78,-79,1
499,-59,-49,-57,-58,-65,-76,-79,1
500,-42,-53,-62,-38,-66,-65,-69,2
501,-44,-55,-61,-41,-66,-72,-68,2
502,-41,-58,-56,-40,-73,-69,-73,2
503,-40,-55,-56,-41,-70,-74,-73,2
504,-38,-55,-53,-37,-72,-71,-73,2
505,-38,-54,-56,-45,-56,-72,-68,2
506,-38,-52,-54,-38,-64,-73,-77,2
507,-37,-59,-57,-38,-69,-68,-73,2
511,-39,-54,-61,-43,-75,-64,-74,2
512,-42,-57,-61,-43,-73,-67,-66,2
516,-41,-56,-56,-38,-72,-67,-70,2
518,-44,-52,-60,-37,-66,-67,-73,2
519,-43,-55,-63,-37,-64,-67,-76,2
520,-40,-59,-57,-43,-74,-65,-66,2
521,-38,-57,-61,-38,-69,-73,-70,2
522,-39,-62,-58,-37,-69,-73,-72,2
523,-35,-58,-61,-38,-67,-71,-71,2
524,-26,-55,-55,-38,-71,-71,-70,2
526,-27,-55,-57,-37,-67,-71,-71,2
527,-19,-59,-67,-35,-65,-66,-74,2
528,-18,-63,-62,-38,-72,-71,-73,2
529,-14,-58,-60,-38,-74,-74,-73,2
530,-17,-66,-61,-37,-68,-75,-77,2
531,-16,-70,-58,-14,-73,-71,-80,2
532,-19,-62,-56,-13,-74,-72,-77,2
533,-18,-62,-56,-15,-71,-70,-79,2
534,-18,-62,-59,-14,-73,-71,-78,2
535,-17,-63,-60,-14,-72,-72,-77,2
536,-17,-61,-60,-15,-72,-69,-79,2
537,-17,-74,-60,-15,-73,-71,-80,2
538,-16,-59,-60,-35,-69,-81,-78,2
539,-12,-60,-62,-14,-71,-77,-71,2
541,-21,-61,-62,-16,-76,-74,-74,2
542,-36,-57,-60,-20,-71,-74,-74,2
543,-39,-56,-58,-37,-64,-76,-72,2
544,-36,-57,-61,-38,-63,-79,-71,2
545,-38,-60,-57,-38,-65,-79,-76,2
546,-38,-55,-54,-42,-63,-78,-71,2
547,-38,-58,-53,-40,-63,-77,-70,2
549,-41,-57,-51,-40,-66,-78,-71,2
550,-41,-53,-49,-38,-71,-69,-75,2
551,-42,-53,-50,-47,-66,-80,-69,2
553,-41,-58,-53,-38,-65,-79,-72,2
554,-45,-58,-59,-42,-66,-81,-75,2
555,-41,-59,-53,-40,-69,-80,-78,2
556,-46,-58,-59,-40,-71,-78,-76,2
557,-42,-55,-57,-38,-71,-71,-76,2
559,-41,-58,-58,-42,-64,-79,-80,2
560,-39,-56,-55,-41,-62,-69,-75,2
561,-38,-53,-53,-43,-78,-69,-75,2
562,-45,-58,-55,-38,-68,-76,-75,2
564,-43,-58,-56,-41,-69,-79,-78,2
566,-48,-58,-57,-45,-73,-86,-92,2
567,-38,-58,-60,-42,-66,-82,-79,2
569,-40,-53,-56,-42,-69,-74,-78,2
570,-43,-60,-55,-46,-71,-76,-79,2
571,-41,-59,-54,-41,-58,-80,-80,2
573,-39,-54,-53,-45,-68,-78,-81,2
574,-48,-56,-54,-39,-67,-78,-82,2
575,-43,-58,-56,-43,-67,-78,-82,2
576,-41,-57,-55,-43,-65,-71,-76,2
578,-38,-54,-50,-42,-60,-71,-67,2
579,-38,-56,-53,-47,-61,-72,-83,2
580,-39,-56,-55,-39,-68,-74,-73,2
582,-38,-57,-60,-39,-68,-73,-74,2
583,-37,-50,-53,-42,-65,-72,-71,2
584,-40,-50,-49,-51,-65,-75,-80,2
585,-38,-52,-56,-44,-65,-71,-75,2
587,-40,-55,-47,-47,-64,-75,-79,2
589,-43,-58,-50,-45,-71,-68,-74,2
590,-40,-53,-50,-40,-60,-69,-74,2
591,-38,-58,-59,-37,-66,-74,-67,2
592,-38,-63,-61,-43,-64,-76,-76,2
593,-37,-56,-58,-39,-66,-70,-72,2
594,-20,-63,-61,-35,-70,-73,-71,2
595,-39,-57,-55,-37,-67,-70,-73,2
596,-35,-58,-59,-40,-75,-75,-73,2
598,-20,-56,-55,-37,-61,-79,-72,2
599,-35,-54,-55,-40,-61,-79,-73,2
600,-19,-60,-56,-36,-63,-70,-75,2
601,-15,-60,-59,-37,-65,-74,-73,2
602,-18,-60,-59,-17,-68,-75,-75,2
603,-19,-63,-66,-20,-79,-73,-72,2
604,-14,-59,-64,-16,-79,-76,-72,2
605,-13,-63,-65,-16,-74,-73,-74,2
607,-12,-60,-68,-15,-74,-73,-70,2
608,-12,-64,-63,-18,-69,-72,-74,2
609,-17,-63,-65,-27,-86,-72,-74,2
610,-27,-59,-56,-38,-62,-75,-79,2
611,-41,-58,-66,-41,-73,-71,-79,2
613,-38,-56,-55,-39,-75,-71,-75,2
614,-38,-62,-57,-41,-77,-65,-68,2
615,-41,-57,-64,-42,-74,-69,-70,2
616,-43,-59,-63,-40,-74,-66,-64,2
617,-44,-58,-63,-39,-80,-71,-72,2
618,-45,-58,-63,-45,-80,-76,-65,2
619,-44,-57,-64,-40,-75,-69,-64,2
621,-44,-57,-62,-41,-75,-65,-68,2
622,-45,-58,-62,-40,-73,-70,-67,2
623,-41,-59,-65,-47,-75,-68,-66,2
625,-40,-56,-57,-35,-84,-70,-66,2
626,-36,-60,-57,-37,-68,-66,-77,2
627,-36,-59,-57,-19,-70,-69,-75,2
628,-17,-59,-63,-15,-70,-76,-85,2
629,-35,-57,-54,-35,-64,-78,-76,2
630,-39,-54,-55,-37,-61,-77,-79,2
631,-42,-56,-52,-36,-75,-68,-81,2
632,-39,-51,-64,-38,-71,-78,-78,2
633,-43,-53,-53,-38,-63,-76,-73,2
634,-40,-56,-56,-38,-66,-77,-74,2
635,-41,-59,-53,-40,-62,-72,-76,2
636,-42,-59,-57,-51,-62,-72,-76,2
637,-49,-62,-59,-43,-78,-79,-81,2
638,-48,-61,-58,-44,-75,-80,-89,2
639,-50,-54,-60,-43,-74,-76,-77,2
640,-49,-56,-58,-42,-77,-76,-78,2
642,-50,-58,-57,-42,-76,-74,-80,2
643,-48,-58,-58,-44,-71,-77,-79,2
644,-50,-55,-58,-43,-73,-75,-80,2
646,-50,-57,-58,-44,-82,-75,-78,2
647,-50,-55,-59,-41,-82,-75,-78,2
648,-48,-63,-58,-44,-74,-79,-78,2
649,-45,-56,-60,-46,-81,-79,-75,2
650,-50,-57,-61,-50,-74,-83,-79,2
651,-50,-57,-57,-50,-70,-77,-80,2
652,-50,-55,-57,-48,-80,-81,-76,2
653,-49,-56,-60,-47,-72,-80,-79,2
654,-48,-57,-60,-44,-71,-85,-77,2
655,-49,-56,-59,-49,-74,-82,-80,2
656,-48,-63,-55,-42,-71,-81,-79,2
657,-44,-63,-67,-46,-63,-81,-78,2
659,-40,-63,-64,-50,-64,-75,-78,2
660,-52,-60,-65,-48,-64,-79,-75,2
662,-42,-61,-63,-44,-74,-76,-75,2
663,-43,-62,-66,-43,-73,-77,-76,2
664,-41,-60,-65,-51,-72,-74,-78,2
665,-44,-59,-63,-42,-72,-79,-80,2
666,-43,-60,-68,-46,-72,-83,-79,2
667,-40,-58,-60,-49,-72,-74,-80,2
668,-37,-54,-55,-38,-72,-76,-79,2
669,-38,-55,-57,-37,-64,-68,-73,2
670,-37,-56,-55,-38,-71,-75,-78,2
672,-40,-56,-53,-42,-65,-72,-70,2
673,-40,-59,-57,-39,-67,-81,-74,2
674,-39,-56,-53,-49,-70,-80,-75,2
675,-42,-60,-56,-44,-74,-76,-80,2
676,-44,-54,-54,-45,-73,-71,-79,2
677,-44,-57,-53,-46,-67,-78,-79,2
679,-39,-59,-57,-42,-75,-78,-74,2
680,-41,-57,-59,-44,-65,-76,-77,2
683,-49,-56,-58,-50,-64,-75,-73,2
684,-37,-58,-57,-37,-73,-75,-71,2
685,-35,-58,-55,-38,-61,-74,-79,2
687,-38,-53,-53,-38,-66,-70,-69,2
688,-40,-50,-52,-48,-68,-73,-71,2
689,-37,-53,-51,-37,-66,-71,-75,2
691,-38,-51,-53,-37,-67,-67,-68,2
692,-37,-56,-57,-39,-61,-72,-74,2
693,-37,-56,-53,-43,-63,-72,-77,2
695,-37,-60,-53,-39,-65,-70,-68,2
696,-38,-58,-54,-38,-67,-72,-71,2
698,-37,-60,-53,-37,-64,-68,-67,2
699,-38,-57,-55,-38,-62,-67,-65,2
